canonical,source,alias,method,validated
Arsenal,football-data,Arsenal,identity,true
Arsenal,understat,Arsenal,seed,false
Aston Villa,football-data,Aston Villa,identity,true
Aston Villa,understat,Aston Villa,seed,false
Bournemouth,football-data,Bournemouth,identity,true
Bournemouth,understat,Bournemouth,seed,false
Brentford,football-data,Brentford,identity,true
Brentford,understat,Brentford,seed,false
Brighton,football-data,Brighton,identity,true
Brighton,understat,Brighton,seed,false
Burnley,football-data,Burnley,identity,true
Burnley,understat,Burnley,seed,false
Chelsea,football-data,Chelsea,identity,true
Chelsea,understat,Chelsea,seed,false
Crystal Palace,football-data,Crystal Palace,identity,true
Crystal Palace,understat,Crystal Palace,seed,false
Everton,football-data,Everton,identity,true
Everton,understat,Everton,seed,false
Fulham,football-data,Fulham,identity,true
Fulham,understat,Fulham,seed,false
Ipswich,football-data,Ipswich,identity,true
Ipswich,understat,Ipswich,seed,false
Leeds,football-data,Leeds,identity,true
Leeds,understat,Leeds,seed,false
Leicester,football-data,Leicester,identity,true
Leicester,understat,Leicester,seed,false
Liverpool,football-data,Liverpool,identity,true
Liverpool,understat,Liverpool,seed,false
Luton,football-data,Luton,identity,true
Luton,understat,Luton,seed,false
Manchester City,football-data,Man City,seed,false
Manchester City,understat,Manchester City,seed,false
Manchester United,football-data,Man United,seed,false
Manchester United,understat,Manchester United,seed,false
Newcastle United,football-data,Newcastle,seed,false
Newcastle United,understat,Newcastle United,seed,false
Nottingham Forest,football-data,Nott'm Forest,seed,false
Nottingham Forest,understat,Nottingham Forest,seed,false
Sheffield United,football-data,Sheffield United,identity,true
Sheffield United,understat,Sheffield United,seed,false
Southampton,football-data,Southampton,identity,true
Southampton,understat,Southampton,seed,false
Sunderland,football-data,Sunderland,identity,true
Sunderland,understat,Sunderland,seed,false
Tottenham,football-data,Tottenham,identity,true
Tottenham,understat,Tottenham,seed,false
West Ham,football-data,West Ham,identity,true
West Ham,understat,West Ham,seed,false
Wolverhampton Wanderers,football-data,Wolves,seed,false
Wolverhampton Wanderers,understat,Wolverhampton Wanderers,seed,false
Watford,football-data,Watford,identity,true
Watford,understat,Watford,seed,false
Norwich,football-data,Norwich,identity,true
Norwich,understat,Norwich,seed,false
West Bromwich Albion,football-data,West Brom,seed,false
West Bromwich Albion,understat,West Bromwich Albion,seed,false
Cardiff,football-data,Cardiff,identity,true
Cardiff,understat,Cardiff,seed,false
Huddersfield,football-data,Huddersfield,identity,true
Huddersfield,understat,Huddersfield,seed,false
Swansea,football-data,Swansea,identity,true
Swansea,understat,Swansea,seed,false
Stoke,football-data,Stoke,identity,true
Stoke,understat,Stoke,seed,false
Hull,football-data,Hull,identity,true
Hull,understat,Hull,seed,false
Middlesbrough,football-data,Middlesbrough,identity,true
Middlesbrough,understat,Middlesbrough,seed,false
Queens Park Rangers,football-data,QPR,seed,false
Queens Park Rangers,understat,Queens Park Rangers,seed,false
Alaves,football-data,Alaves,identity,true
Alaves,understat,Alaves,seed,false
Almeria,football-data,Almeria,identity,true
Almeria,understat,Almeria,seed,false
Athletic Club,football-data,Ath Bilbao,seed,false
Athletic Club,understat,Athletic Club,seed,false
Atletico Madrid,football-data,Ath Madrid,seed,false
Atletico Madrid,understat,Atletico Madrid,seed,false
Barcelona,football-data,Barcelona,identity,true
Barcelona,understat,Barcelona,seed,false
Cadiz,football-data,Cadiz,identity,true
Cadiz,understat,Cadiz,seed,false
Celta Vigo,football-data,Celta,seed,false
Celta Vigo,understat,Celta Vigo,seed,false
Deportivo La Coruna,football-data,La Coruna,seed,false
Deportivo La Coruna,understat,Deportivo La Coruna,seed,false
Eibar,football-data,Eibar,identity,true
Eibar,understat,Eibar,seed,false
Elche,football-data,Elche,identity,true
Elche,understat,Elche,seed,false
Espanyol,football-data,Espanol,seed,false
Espanyol,understat,Espanyol,seed,false
Getafe,football-data,Getafe,identity,true
Getafe,understat,Getafe,seed,false
Girona,football-data,Girona,identity,true
Girona,understat,Girona,seed,false
Granada,football-data,Granada,identity,true
Granada,understat,Granada,seed,false
Las Palmas,football-data,Las Palmas,identity,true
Las Palmas,understat,Las Palmas,seed,false
Leganes,football-data,Leganes,identity,true
Leganes,understat,Leganes,seed,false
Levante,football-data,Levante,identity,true
Levante,understat,Levante,seed,false
Malaga,football-data,Malaga,identity,true
Malaga,understat,Malaga,seed,false
Mallorca,football-data,Mallorca,identity,true
Mallorca,understat,Mallorca,seed,false
Osasuna,football-data,Osasuna,identity,true
Osasuna,understat,Osasuna,seed,false
Rayo Vallecano,football-data,Vallecano,seed,false
Rayo Vallecano,understat,Rayo Vallecano,seed,false
Real Betis,football-data,Betis,seed,false
Real Betis,understat,Real Betis,seed,false
Real Madrid,football-data,Real Madrid,identity,true
Real Madrid,understat,Real Madrid,seed,false
Real Oviedo,football-data,Oviedo,seed,false
Real Oviedo,understat,Real Oviedo,seed,false
Real Sociedad,football-data,Sociedad,seed,false
Real Sociedad,understat,Real Sociedad,seed,false
Real Valladolid,football-data,Valladolid,seed,false
Real Valladolid,understat,Real Valladolid,seed,false
SD Huesca,football-data,Huesca,seed,false
SD Huesca,understat,SD Huesca,seed,false
Sevilla,football-data,Sevilla,identity,true
Sevilla,understat,Sevilla,seed,false
Sporting Gijon,football-data,Sp Gijon,seed,false
Sporting Gijon,understat,Sporting Gijon,seed,false
Valencia,football-data,Valencia,identity,true
Valencia,understat,Valencia,seed,false
Villarreal,football-data,Villarreal,identity,true
Villarreal,understat,Villarreal,seed,false
Arminia Bielefeld,football-data,Bielefeld,seed,false
Arminia Bielefeld,understat,Arminia Bielefeld,seed,false
Augsburg,football-data,Augsburg,identity,true
Augsburg,understat,Augsburg,seed,false
Bayer Leverkusen,football-data,Leverkusen,seed,false
Bayer Leverkusen,understat,Bayer Leverkusen,seed,false
Bayern Munich,football-data,Bayern Munich,identity,true
Bayern Munich,understat,Bayern Munich,seed,false
Bochum,football-data,Bochum,identity,true
Bochum,understat,Bochum,seed,false
Borussia Dortmund,football-data,Dortmund,seed,false
Borussia Dortmund,understat,Borussia Dortmund,seed,false
Borussia M.Gladbach,football-data,M'gladbach,seed,false
Borussia M.Gladbach,understat,Borussia M.Gladbach,seed,false
Darmstadt,football-data,Darmstadt,identity,true
Darmstadt,understat,Darmstadt,seed,false
Eintracht Frankfurt,football-data,Ein Frankfurt,seed,false
Eintracht Frankfurt,understat,Eintracht Frankfurt,seed,false
FC Cologne,football-data,FC Koln,seed,false
FC Cologne,understat,FC Cologne,seed,false
FC Heidenheim,football-data,Heidenheim,seed,false
FC Heidenheim,understat,FC Heidenheim,seed,false
Fortuna Duesseldorf,football-data,Fortuna Dusseldorf,seed,false
Fortuna Duesseldorf,understat,Fortuna Duesseldorf,seed,false
Freiburg,football-data,Freiburg,identity,true
Freiburg,understat,Freiburg,seed,false
Greuther Fuerth,football-data,Greuther Furth,seed,false
Greuther Fuerth,understat,Greuther Fuerth,seed,false
Hamburger SV,football-data,Hamburg,seed,false
Hamburger SV,understat,Hamburger SV,seed,false
Hannover 96,football-data,Hannover,seed,false
Hannover 96,understat,Hannover 96,seed,false
Hertha Berlin,football-data,Hertha,seed,false
Hertha Berlin,understat,Hertha Berlin,seed,false
Hoffenheim,football-data,Hoffenheim,identity,true
Hoffenheim,understat,Hoffenheim,seed,false
Holstein Kiel,football-data,Holstein Kiel,identity,true
Holstein Kiel,understat,Holstein Kiel,seed,false
Ingolstadt,football-data,Ingolstadt,identity,true
Ingolstadt,understat,Ingolstadt,seed,false
Mainz 05,football-data,Mainz,seed,false
Mainz 05,understat,Mainz 05,seed,false
Nuernberg,football-data,Nurnberg,seed,false
Nuernberg,understat,Nuernberg,seed,false
Paderborn,football-data,Paderborn,identity,true
Paderborn,understat,Paderborn,seed,false
RasenBallsport Leipzig,football-data,RB Leipzig,seed,false
RasenBallsport Leipzig,understat,RasenBallsport Leipzig,seed,false
Schalke 04,football-data,Schalke 04,identity,true
Schalke 04,understat,Schalke 04,seed,false
St. Pauli,football-data,St Pauli,seed,false
St. Pauli,understat,St. Pauli,seed,false
Union Berlin,football-data,Union Berlin,identity,true
Union Berlin,understat,Union Berlin,seed,false
VfB Stuttgart,football-data,Stuttgart,seed,false
VfB Stuttgart,understat,VfB Stuttgart,seed,false
Werder Bremen,football-data,Werder Bremen,identity,true
Werder Bremen,understat,Werder Bremen,seed,false
Wolfsburg,football-data,Wolfsburg,identity,true
Wolfsburg,understat,Wolfsburg,seed,false
AC Milan,football-data,Milan,seed,false
AC Milan,understat,AC Milan,seed,false
Atalanta,football-data,Atalanta,identity,true
Atalanta,understat,Atalanta,seed,false
Benevento,football-data,Benevento,identity,true
Benevento,understat,Benevento,seed,false
Bologna,football-data,Bologna,identity,true
Bologna,understat,Bologna,seed,false
Brescia,football-data,Brescia,identity,true
Brescia,understat,Brescia,seed,false
Cagliari,football-data,Cagliari,identity,true
Cagliari,understat,Cagliari,seed,false
Carpi,football-data,Carpi,identity,true
Carpi,understat,Carpi,seed,false
Chievo,football-data,Chievo,identity,true
Chievo,understat,Chievo,seed,false
Como,football-data,Como,identity,true
Como,understat,Como,seed,false
Cremonese,football-data,Cremonese,identity,true
Cremonese,understat,Cremonese,seed,false
Crotone,football-data,Crotone,identity,true
Crotone,understat,Crotone,seed,false
Empoli,football-data,Empoli,identity,true
Empoli,understat,Empoli,seed,false
